,Country,ADD,Pork1,Pork2,Poultry1,Poultry2,Beef1,Beef2,LambGoat1,LambGoat2,Fish1,Fish2,Eggs1,Eggs2,Dairy1,Dairy2,AnimalTotal,Wheat1,Wheat2,Rice1,Rice2,Soy1,Soy2,Nuts1,Nuts2,NonAnimalTotal,Difference Animal_Nonanimal
1,Argentina,,10.51,37.2,38.66,41.53,55.48,1712,1.56,54.63,4.36,6.96,11.39,10.46,195.08,277.87,2140.65,103.11,19.66,8.77,11.22,0,0,0.49,0.87,31.75,2108.9
2,Australia,,24.14,85.44,46.12,49.54,33.86,1044.85,9.87,345.65,17.69,28.25,8.51,7.82,234.49,334.01,1895.55,70.46,13.44,11.03,14.12,0.19,0.09,8.73,15.45,43.09,1852.46
3,Albania,,10.88,38.51,13.23,14.21,22.5,694.3,15.32,536.5,3.85,6.15,12.45,11.44,303.72,432.62,1733.73,138.64,26.44,7.78,9.96,0,0,4.36,7.72,44.11,1689.62
4,Iceland,,21.69,76.77,26.87,28.86,13.36,412.26,21.12,739.62,74.41,118.81,8.24,7.57,225.82,321.66,1705.55,72.92,13.91,3.89,4.98,0.11,0.05,3.88,6.87,25.8,1679.75
5,New Zealand,,22.29,78.9,34.98,37.58,22.49,693.99,18.91,662.23,20.36,32.51,9.91,9.1,137.25,195.5,1709.8,76.91,14.67,9.16,11.72,0.44,0.2,8.22,14.55,41.14,1668.67
6,United States of America,,27.64,97.83,50.01,53.72,36.24,1118.29,0.43,15.06,12.35,19.72,14.58,13.39,254.69,362.78,1680.79,80.43,15.34,6.88,8.8,0.04,0.02,7.86,13.91,38.07,1642.72
7,Uruguay,,16.84,59.61,27.45,29.49,29.1,897.96,8.23,288.21,6.53,10.43,13.14,12.07,210.54,299.89,1597.66,109.31,20.85,11.5,14.72,0.01,0,0.95,1.68,37.25,1560.41
8,Luxembourg,,43.58,154.25,21.37,22.96,29.88,922.03,1.67,58.48,23.09,36.87,14.64,13.45,255.3,363.65,1571.69,103.2,19.68,4.2,5.37,0.04,0.02,0.93,1.65,26.72,1544.97
9,Brazil,,12.6,44.6,45,48.34,39.25,1211.17,0.62,21.71,10.01,15.98,8.98,8.25,149.28,212.63,1562.69,53,10.11,32.13,41.12,3.62,1.63,0.67,1.19,54.04,1508.65
10,Kazakhstan,,10.36,36.67,18.38,19.74,23.38,721.46,9.56,334.79,5.21,8.32,8.29,7.62,288.12,410.4,1538.99,92.31,17.6,7.32,9.37,0.03,0.01,5.14,9.1,36.08,1502.91
11,Sweden,,37,130.96,16.64,17.87,24.58,758.49,1.41,49.38,23.86,38.1,13.37,12.28,341.23,486.05,1493.13,79.59,15.18,5.96,7.63,0.13,0.06,6.23,11.03,33.89,1459.24
12,Bermuda,,28.24,99.96,32.62,35.04,33.15,1022.94,2.71,94.9,33.22,53.04,14.92,13.71,95.56,136.12,1455.7,54.88,10.47,5.38,6.88,0.22,0.1,5.72,10.12,27.57,1428.13
13,Denmark,,24.87,88.03,26.75,28.73,28.46,878.22,0.92,32.22,16.49,26.33,15.35,14.1,277.3,394.99,1462.61,98,18.69,4.96,6.35,0.03,0.01,5.94,10.51,35.56,1427.05
14,Finland,,36.14,127.92,19.87,21.34,19.22,593.09,0.53,18.56,33.8,53.97,9.55,8.77,430.76,613.57,1437.23,81.99,15.64,4.42,5.66,0.08,0.04,3.43,6.07,27.4,1409.83
15,Ireland,,32.4,114.68,26.26,28.21,22.35,689.67,4.1,143.58,17.39,27.77,8.96,8.23,291.86,415.73,1427.87,107.98,20.59,3,3.84,0.25,0.11,4.1,7.26,31.8,1396.07
16,Greece,,28.31,100.2,15.74,16.91,16.1,496.81,12.47,436.7,14.42,23.02,10.13,9.31,255.26,363.59,1446.54,124.04,23.65,6.64,8.5,0.02,0.01,10.5,18.59,50.75,1395.8
17,France,,33.05,116.98,22.93,24.63,23.81,734.73,3.28,114.87,22.91,36.58,13.13,12.06,241.31,343.72,1383.57,108.43,20.68,4.88,6.24,0.05,0.02,5.39,9.54,36.49,1347.08
18,Canada,,22.81,80.74,36.68,39.4,30.25,933.45,0.97,33.97,14.56,23.25,12.95,11.9,187.77,267.46,1390.16,84.96,16.2,12.65,16.19,0.94,0.42,8.01,14.18,46.99,1343.17
19,Norway,,23.51,83.21,21.01,22.57,19.83,611.91,5.34,187.01,38.18,60.96,11.41,10.48,261.34,372.25,1348.4,97.12,18.52,4.36,5.58,0.11,0.05,5.28,9.35,33.5,1314.9
20,Hong Kong SAR. China,,67.11,237.54,54.86,58.93,25.82,796.75,2.22,77.74,42.44,67.76,14.5,13.32,105.85,150.77,1402.82,53.14,10.13,43.48,55.64,2.79,1.26,13.81,24.44,91.47,1311.34
21,French Polynesia,,14.75,52.21,49.55,53.23,30.9,953.51,2.83,99.11,38.95,62.19,8.75,8.04,93.56,133.27,1361.54,68.67,13.1,35.59,45.54,0.77,0.35,2.34,4.14,63.13,1298.42
